A,B,C,uot_weight,final_weight
-2.3017773482688324,1.153436219352417,-0.1547734371435898,1.6970320814669275,3.7177007974828284
-2.3017773482688324,1.1417794656597813,-0.11375360174084509,1.6835920498533612,3.688257620306851
-2.3017773482688324,1.0768868727368495,0.03109344775594468,1.6343809589483507,1.6473172887255685
-2.2855191481513515,-0.7906507024030048,-0.5646283719959323,1.8789855375511864,3.464296818223919
-2.2855191481513515,1.1678210308156958,-0.09332283527571088,1.6766229395655652,5.4644254616545735
-2.2855191481513515,1.1629071295233346,-0.07940055463158316,1.6694175346145224,3.6572054043924562
-2.2855191481513515,1.157694898062804,-0.06555006703794695,1.6660981958778025,3.6499337043442437
-2.2855191481513515,1.1521859241302983,-0.05177559148749579,1.6630481437671585,3.6432519325097954
-2.2855191481513515,1.140284551076139,-0.024471435438807476,1.6530018085447449,1.666085524676284
-2.2855191481513515,1.0976515073811455,0.05518572797312181,1.6314277436870184,1.6443406983959488
-2.2855191481513515,1.0895580307303576,0.06809047902885827,1.6286314924558822,1.6415223144864624
-2.2687515352178247,-0.8148745925243457,-0.5864851853948255,1.8612353542866438,3.431570699700203
-2.2687515352178247,-0.7586662571716137,-0.6967296525112083,1.878123333380536,3.4627071672631473
-2.2687515352178247,1.1630672303603307,-0.001614606351210941,1.649031490539285,1.662083781107061
-2.2687515352178247,1.149004439323368,0.025967511039562213,1.6407441949190364,1.6537308905051056
-2.2687515352178247,1.1415308074155979,0.03960482881129786,1.6474840485379632,1.6605240909086885
-2.2687515352178247,1.1337653567744495,0.05313410333991407,1.6366851446617385,1.6496397123571693
-2.2687515352178247,1.090646682748619,0.1190168090436639,1.612287397481918,1.625048853955873
-2.251479617045584,1.161774728888597,0.06398785470718098,1.6444493683950965,1.6574653908928043
-2.251479617045584,1.1448946089707042,0.0914933625114293,1.6231907347724472,1.6360384925252376
-2.251479617045584,1.1360139759799268,0.10506242842110683,1.6137194779300252,1.6264922694999027
-2.251479617045584,1.1268432047360692,0.11850351206872173,1.6094401454126748,1.6221790655302648
